"","Name","Team","Height"
"434","Ade Franci Alleyne-Forte","Trinidad and Tobago",180
"435","Derek Swithin Allhusen","Great Britain",180
"436","Derek Swithin Allhusen","Great Britain",180
"437","Lynne Marie Allsup (-Olson)","United States",163
"438","Carmela Allucci","Italy",167
"439","Knut Emil Willehard Alm","Sweden",170
"440","sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)","Sweden",170
"441","Aleksandr Davletovich Almetov","Soviet Union",178
"442","Aleksandr Davletovich Almetov","Soviet Union",178
"443","Matas Jess Almeyda","Argentina",173
"444","Erik Albin Almlf","Sweden",188
"445","Erik Albin Almlf","Sweden",188
"446","Arvid Folke Alnevik (Andersson-)","Sweden",182
"447","Nicolas Alnoudji","Cameroon",180
"448","Alosio Pires Alves","Brazil",182
"449","Jessica Alonso Bernardo","Spain",172
"450","Mikhail Surenovich ""Misha"" Aloyan","Russia",164
"451","Glory Alozie Oluchi","Nigeria",155
"452","Thomas Alsgaard (Alsgrd-)","Norway",190
"453","Thomas Alsgaard (Alsgrd-)","Norway",190
"454","Thomas Alsgaard (Alsgrd-)","Norway",190
"455","Thomas Alsgaard (Alsgrd-)","Norway",190
"456","Thomas Alsgaard (Alsgrd-)","Norway",190
"457","Thomas Alsgaard (Alsgrd-)","Norway",190
"458","Malin Therse Alshammar","Sweden",180
"459","Malin Therse Alshammar","Sweden",180
"460","Malin Therse Alshammar","Sweden",180
"461","Andrey Igorevich Alshan","Soviet Union",181
"462","Ida Alstad","Norway",172
"463","Ida Alstad","Norway",172
"464","Lutz Altepost","Germany",193
"465","Ingeburg ""Inge"" Althoff-Schwerzmann","Germany",180
"466","Fernando ""Nando"" Altimani","Italy",177
"467","Livia Altmann","Switzerland",165
"468","Cristin Andrs lvarez Valenzuela","Chile",173
"469","Eduardo C. ""Eddy"" Alvarez","United States",175
"470","Jos Miguel lvarez Pozo","Cuba",198
"471","Lzaro Jorge lvarez Estrada","Cuba",173
"472","Lzaro Jorge lvarez Estrada","Cuba",173
"473","Yuri Alvear Orjuela","Colombia",176
"474","Yuri Alvear Orjuela","Colombia",176
"475","Renzo Alver","Italy-2",178
"476","Renzo Alver","Italy-2",178
"477","Thiago Soares Alves","Brazil",194
"478","Mohamed Aly Reda","Egypt",190
"479","Maksim Nikolayevich Alyoshin","Russia",166
"480","Ivan Vladimirovich Alypov","Russia",169
"481","Simona Amnar (-Tabr)","Romania",158
"482","Simona Amnar (-Tabr)","Romania",158
"483","Simona Amnar (-Tabr)","Romania",158
"484","Simona Amnar (-Tabr)","Romania",158
"485","Simona Amnar (-Tabr)","Romania",158
"486","Simona Amnar (-Tabr)","Romania",158
"487","Simona Amnar (-Tabr)","Romania",158
"488","Ingrda Amantova","Soviet Union",170
"489","Alexandre ""Amaral"" da Silva Mariano","Brazil",170
"490","Catello Amarante","Italy",177
"491","Prince Amartey","Ghana",177
"492","Jaime Santiago Amat Durn","Spain",168
"493","Jean-Pierre Bernard Andr Amat","France",175
"494","Jean-Pierre Bernard Andr Amat","France",175
"495","Juan Amat Fontanals","Spain",193
"496","Pedro Amat Fontanals","Spain",183
"497","Pablo ""Pol"" Amat Escud","Spain",183
"498","Pablo ""Pol"" Amat Escud","Spain",183
"499","Serena Bibiana Amato","Argentina",170
"500","Amauri Ribeiro","Brazil",198
"501","Amauri Ribeiro","Brazil",198
"502","Amaury Antnio Pasos","Brazil",190
"503","Amaury Antnio Pasos","Brazil",190
"504","Jos Emilio Amavisca Grate","Spain",182
"505","Ivn Amaya Carazo","Spain",188
"506","Amedeo Ambron","Italy",174
"507","Efetobore ""Efe"" Ambrose Emuobo","Nigeria",187
"508","Christie Ambrosi","United States",172
"509","Mikls Ambrus","Hungary",185
"510","Rolf-Dieter Amend","East Germany-1",173
"511","Sbastien Amiez","France",180
"512","Salvatore Amitrano","Italy",184
"513","Joseph Brian ""Joe"" Amlong","United States",186
"514","Thomas Kennedy ""Tom"" Amlong","United States",186
"515","Simon Ammann","Switzerland",171
"516","Simon Ammann","Switzerland",171
"517","Simon Ammann","Switzerland",171
"518","Simon Ammann","Switzerland",171
"519","Otto Ammermann","West Germany",183
"520","Daniel Owofin Amokachi","Nigeria",182
"521","Anthony Lewis ""Tony"" Amonte","United States",183
"522","Judith Florence ""Judy"" Amoore-Pollock","Australia",163
"523","Vanessa Amors Quiles","Spain",165
"524","Nijel Carlos Amilfitano Amos","Botswana",179
"525","Roman Amoyan","Armenia",158
"526","Uwe Ampler","East Germany",182
"527","Marwa Al-Amri","Tunisia",160
"528","Gail Amundrud (-Beattie)","Canada",183
"529","Steinar Amundsen","Norway",195
"530","Steinar Amundsen","Norway",195
"531","Emmanuel Amunike","Nigeria",176
"532","Stanley Amuzie","Nigeria",171
"533","Francis ""Frank"" Amyot","Canada",188
"534","An Ba-Ul","South Korea",169
"535","An Byeong-Geun","South Korea",172
"536","An Dae-Hyeon","South Korea",166
"537","An Han-Bong","South Korea",163
"538","An Jae-Hyeong","South Korea-2",183
"539","An Jeong-Hwa","South Korea",162
"540","An Kum-Ae","North Korea",160
"541","An Kum-Ae","North Korea",160
"542","An Sang-Mi","South Korea",155
"543","Viktor An","South Korea",170
"544","Viktor An","South Korea",170
"545","Viktor An","South Korea",170
"546","Viktor An","South Korea",170
"547","Viktor An","Russia",170
"548","Viktor An","Russia",170
"549","Viktor An","Russia",170
"550","Viktor An","Russia",170
"551","An Yeong-Su","South Korea",174
"552","An Yulong","China",173
"553","An Yulong","China",173
"554","An Yulong","China",173
"555","An Zhongxin","China",170
"556","Ana Flvia Chritaro Daniel Sanglard","Brazil",187
"557","Ana Paula Rodrigues Connelly (-Rodrigues Henkel)","Brazil",183
"558","Borislav Ananiev","Bulgaria",185
"559","Tatyana Vasilyevna Ananko","Belarus",171
"560","Flavio Anastasia","Italy",188
"561","Svetlana Anastasovski-Obuina","Yugoslavia",176
"562","Svetlana Anastasovski-Obuina","Yugoslavia",176
"563","Mario Ani","Croatia",195
"564","Zygmunt Jzef Anczok","Poland",178
"565","milie Andol","France",170
"566","Stefan ""Steve"" Anderhub","Switzerland-1",187
"567","Elizabeth Rambo ""Beth"" Anders","United States",174
"568","Anne Dsane Andersen","Denmark",183
"569","Anne Nymark Andersen (-Rylandsholm)","Norway",168
"570","Camilla Rseler Andersen","Denmark",169
"571","Camilla Rseler Andersen","Denmark",169
"572","Kjerstin Andersen","Norway",179
"573","Kristine Andersen","Denmark",172
"574","Linda Widwey Andersen (-Cerup-Simonsen)","Norway",169
"575","Mads Christian Kruse Andersen","Denmark",187
"576","Nina Nymark Andersen (-Jakobsen)","Norway",173
"577","Ove Andersen","Finland",178
"578","Paul Kuhlman ""Poul"" Andersen","Denmark",173
"579","Terje Andersen","Norway",180
"580","Grete Andersen-Waitz","Norway",172
